epoch,datetime,direction,speed_kmh,dist_m,angle_deg,snr
662,1970-01-01 00:11:02,approach,3,13,-27,167
664,1970-01-01 00:11:04,approach,6,10,-33,255
666,1970-01-01 00:11:06,approach,7,6,-34,255
668,1970-01-01 00:11:08,approach,5,3,-10,255
697,1970-01-01 00:11:37,away,3,2,48,187
698,1970-01-01 00:11:38,away,5,4,-2,158
700,1970-01-01 00:11:40,away,3,6,-15,255
703,1970-01-01 00:11:43,away,7,12,-33,171
1756304884,2025-08-27 16:28:04,away,3,4,45,255
1756304955,2025-08-27 16:29:15,approach,3,3,-30,255
1756304957,2025-08-27 16:29:17,approach,4,5,47,255
1756312741,2025-08-27 18:39:01,away,3,4,45,235
1756312743,2025-08-27 18:39:03,approach,3,2,25,201
1756312996,2025-08-27 18:43:16,away,3,2,-2,255
1756312997,2025-08-27 18:43:17,away,3,4,-22,255
1756313980,2025-08-27 18:59:40,approach,3,4,-27,236
1756314126,2025-08-27 19:02:06,approach,3,4,-29,255
1756314202,2025-08-27 19:03:22,away,4,4,43,255
1756314203,2025-08-27 19:03:23,away,3,4,-19,255
1756314285,2025-08-27 19:04:45,approach,3,4,-21,255
1756314487,2025-08-27 19:08:07,approach,3,4,-25,255
1756314489,2025-08-27 19:08:09,approach,3,3,-4,239
1756314490,2025-08-27 19:08:10,approach,3,2,-14,255
1756314506,2025-08-27 19:08:26,approach,3,2,-14,255
1756314532,2025-08-27 19:08:52,away,3,2,-23,255
1756314534,2025-08-27 19:08:54,away,3,4,-31,255
1756314544,2025-08-27 19:09:04,away,3,2,18,164
1756314567,2025-08-27 19:09:27,approach,3,2,6,255
1756314602,2025-08-27 19:10:02,away,3,4,-32,255
1756314658,2025-08-27 19:10:58,approach,3,4,-35,255
1756314660,2025-08-27 19:11:00,approach,3,3,-16,218
1756314720,2025-08-27 19:12:00,approach,3,2,13,255
1756314735,2025-08-27 19:12:15,away,3,2,0,255
1756314760,2025-08-27 19:12:40,approach,3,2,8,255
1756314858,2025-08-27 19:14:18,approach,3,4,-19,212
1756314865,2025-08-27 19:14:25,away,3,3,-23,186
1756314878,2025-08-27 19:14:38,approach,3,4,-26,255
1756314881,2025-08-27 19:14:41,approach,3,3,72,255
1756314899,2025-08-27 19:14:59,away,3,2,-14,255
1756314901,2025-08-27 19:15:01,away,3,4,8,255
1756314903,2025-08-27 19:15:03,away,3,4,-34,187
1756314917,2025-08-27 19:15:17,away,3,4,-29,213
1756317526,2025-08-27 19:58:46,approach,3,3,-10,255
1756317530,2025-08-27 19:58:50,approach,3,2,8,175
1756317564,2025-08-27 19:59:24,approach,3,2,6,178
1756317755,2025-08-27 20:02:35,approach,3,3,-52,148
1756317761,2025-08-27 20:02:41,away,3,4,-17,255
1756317901,2025-08-27 20:05:01,approach,3,4,-31,255
1756317907,2025-08-27 20:05:07,away,3,4,39,255
1756318094,2025-08-27 20:08:14,approach,3,3,-65,255
1756318099,2025-08-27 20:08:19,away,3,3,-43,177
1756318734,2025-08-27 20:18:54,approach,3,4,-24,255
1756318735,2025-08-27 20:18:55,approach,3,4,2,156
1756318740,2025-08-27 20:19:00,away,3,4,-24,255
1756318749,2025-08-27 20:19:09,approach,3,4,-26,242
1756318751,2025-08-27 20:19:11,approach,3,2,-9,255
1756318764,2025-08-27 20:19:24,away,3,2,-3,162
1756318766,2025-08-27 20:19:26,away,3,3,-26,201
1756319310,2025-08-27 20:28:30,away,3,5,-29,154
1756319319,2025-08-27 20:28:39,approach,3,4,8,255
1756319339,2025-08-27 20:28:59,approach,3,2,-19,178
1756319361,2025-08-27 20:29:21,approach,3,2,0,255
1756319377,2025-08-27 20:29:37,away,3,2,17,255
1756319378,2025-08-27 20:29:38,away,3,2,-23,255
1756319380,2025-08-27 20:29:40,away,3,4,-54,255
1756319514,2025-08-27 20:31:54,approach,3,4,-20,255
1756319516,2025-08-27 20:31:56,approach,3,3,-36,166
1756319519,2025-08-27 20:31:59,away,3,3,-32,176
1756319521,2025-08-27 20:32:01,away,3,4,-35,255
